run_id,Q,N,loop,estimator,T,time,estimation_error_norm
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.29,0.243052
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.29,0.244492
52f3cac1,Q1,10,1,EKF,30,0.3,0.248802
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.3,0.248431
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.3,0.241408
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.3,0.243674
52f3cac1,Q1,10,1,EKF,30,0.31,0.258147
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.31,0.25773
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.31,0.244055
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.31,0.246329
52f3cac1,Q1,10,1,EKF,30,0.32,0.261378
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.32,0.261269
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.32,0.246018
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.32,0.248323
52f3cac1,Q1,10,1,EKF,30,0.33,0.26559
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.33,0.265954
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.33,0.24249
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.33,0.244185
52f3cac1,Q1,10,1,EKF,30,0.34,0.261349
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.34,0.261639
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.34,0.249175
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.34,0.251687
52f3cac1,Q1,10,1,EKF,30,0.35,0.278714
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.35,0.278414
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.35,0.262523
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.35,0.263643
52f3cac1,Q1,10,1,EKF,30,0.36,0.269601
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.36,0.269554
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.36,0.262543
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.36,0.265205
52f3cac1,Q1,10,1,EKF,30,0.37,0.286714
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.37,0.286217
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.37,0.264174
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.37,0.267404
52f3cac1,Q1,10,1,EKF,30,0.38,0.293842
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.38,0.302387
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.38,0.268236
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.38,0.27257
52f3cac1,Q1,10,1,EKF,30,0.39,0.304763
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.39,0.351422
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.39,0.28077
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.39,0.28628
52f3cac1,Q1,10,1,EKF,30,0.4,0.304008
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.4,0.378033
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.4,0.283276
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.4,0.286853
52f3cac1,Q1,10,1,EKF,30,0.41,0.313444
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.41,0.378546
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.41,0.2943
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.41,0.295293
52f3cac1,Q1,10,1,EKF,30,0.42,0.321002
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.42,0.37944
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.42,0.302678
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.42,0.302509
52f3cac1,Q1,10,1,EKF,30,0.43,0.323307
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.43,0.372036
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.43,0.309546
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.43,0.308593
52f3cac1,Q1,10,1,EKF,30,0.44,0.314373
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.44,0.361562
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.44,0.301478
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.44,0.30255
52f3cac1,Q1,10,1,EKF,30,0.45,0.307883
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.45,0.349489
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.45,0.301915
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.45,0.302688
52f3cac1,Q1,10,1,EKF,30,0.46,0.299533
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.46,0.342985
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.46,0.293647
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.46,0.296351
52f3cac1,Q1,10,1,EKF,30,0.47,0.297588
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.47,0.341746
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.47,0.295734
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.47,0.296475
52f3cac1,Q1,10,1,EKF,30,0.48,0.296269
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.48,0.351787
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.48,0.326788
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.48,0.307939
52f3cac1,Q1,10,1,EKF,30,0.49,0.299794
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.49,0.365674
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.49,0.380781
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.49,0.329826
52f3cac1,Q1,10,1,EKF,30,0.5,0.305244
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.5,0.388675
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.5,0.50978
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.5,0.346184
52f3cac1,Q1,10,1,EKF,30,0.51,0.312733
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.51,0.422173
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.51,0.603007
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.51,0.350073
52f3cac1,Q1,10,1,EKF,30,0.52,0.326759
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.52,0.455725
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.52,0.677574
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.52,0.355645
52f3cac1,Q1,10,1,EKF,30,0.53,0.34295
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.53,0.485432
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.53,0.725812
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.53,0.357403
52f3cac1,Q1,10,1,EKF,30,0.54,0.323187
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.54,0.496992
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.54,0.732793
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.54,0.327029
52f3cac1,Q1,10,1,EKF,30,0.55,0.323519
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.55,0.487806
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.55,0.769405
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.55,0.336741
52f3cac1,Q1,10,1,EKF,30,0.56,0.329416
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.56,0.51362
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.56,0.764794
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.56,0.326695
52f3cac1,Q1,10,1,EKF,30,0.57,0.331703
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.57,0.525603
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.57,0.760238
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.57,0.321861
52f3cac1,Q1,10,1,EKF,30,0.58,0.320487
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.58,0.496655
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.58,0.791725
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.58,0.331325
52f3cac1,Q1,10,1,EKF,30,0.59,0.322535
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.59,0.490675
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.59,0.799123
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.59,0.331454
52f3cac1,Q1,10,1,EKF,30,0.6,0.332785
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.6,0.486887
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.6,0.815546
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.6,0.338776
52f3cac1,Q1,10,1,EKF,30,0.61,0.325265
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.61,0.488454
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.61,0.782304
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.61,0.330307
52f3cac1,Q1,10,1,EKF,30,0.62,0.320849
